game_id,game_date,game_datetime,category_id,status_code,status_info,stadium,home_team_code,home_team_name,away_team_code,away_team_name,home_score,away_score,home_starter_name,away_starter_name,win_pitcher_name,lose_pitcher_name,broad_channel,manual_relay_url,round_code,title
20250322HHKT02025,2025-03-22,2025-03-22T14:00:00,kbo,RESULT,9회말,수원,KT,KT,HH,한화,3,4,,,박상원,김민수,,,kbo_r,
20250323HHKT02025,2025-03-23,2025-03-23T14:00:00,kbo,RESULT,11회말,수원,KT,KT,HH,한화,5,4,,,손동현,한승혁,,,kbo_r,
20250325HHLG02025,2025-03-25,2025-03-25T18:30:00,kbo,RESULT,9회초,잠실,LG,LG,HH,한화,5,0,,류현진,에르난데스,박상원,,,kbo_r,
20250326HHLG02025,2025-03-26,2025-03-26T18:30:00,kbo,RESULT,9회초,잠실,LG,LG,HH,한화,4,0,임찬규,엄상백,임찬규,엄상백,,,kbo_r,
20250327HHLG02025,2025-03-27,2025-03-27T18:30:00,kbo,RESULT,9회초,잠실,LG,LG,HH,한화,2,1,송승기,문동주,박명근,한승혁,,,kbo_r,
20250328HTHH02025,2025-03-28,2025-03-28T18:30:00,kbo,RESULT,9회초,대전,HH,한화,HT,KIA,7,2,,네일,폰세,전상현,,,kbo_r,
20250329HTHH02025,2025-03-29,2025-03-29T14:00:00,kbo,RESULT,9회초,대전,HH,한화,HT,KIA,5,4,,양현종,김종수,조상우,,,kbo_r,
20250330HTHH02025,2025-03-30,2025-03-30T14:00:00,kbo,RESULT,9회말,대전,HH,한화,HT,KIA,3,5,류현진,올러,황동하,이태양,,,kbo_r,
20250401LTHH02025,2025-04-01,2025-04-01T18:30:00,kbo,BEFORE,경기취소,대전,HH,한화,LT,롯데,0,0,엄상백,김진욱,,,,,kbo_r,
20250402LTHH02025,2025-04-02,2025-04-02T18:30:00,kbo,RESULT,9회말,대전,HH,한화,LT,롯데,2,6,문동주,김진욱,김진욱,문동주,,,kbo_r,
20250403LTHH02025,2025-04-03,2025-04-03T18:30:00,kbo,RESULT,9회말,대전,HH,한화,LT,롯데,2,4,,나균안,박진,박상원,,,kbo_r,
20250404HHSS02025,2025-04-04,2025-04-04T18:30:00,kbo,RESULT,9회초,대구,SS,삼성,HH,한화,5,0,원태인,,원태인,와이스,,,kbo_r,
20250405HHSS02025,2025-04-05,2025-04-05T14:00:00,kbo,RESULT,9회말,대구,SS,삼성,HH,한화,6,7,이승현,류현진,박상원,김재윤,,,kbo_r,
20250406HHSS02025,2025-04-06,2025-04-06T14:00:00,kbo,RESULT,9회초,대구,SS,삼성,HH,한화,10,0,,엄상백,레예스,엄상백,,,kbo_r,
20250408HHOB02025,2025-04-08,2025-04-08T18:30:00,kbo,RESULT,11회말,잠실,OB,두산,HH,한화,6,5,최승용,문동주,최지강,이상규,,,kbo_r,
20250409HHOB02025,2025-04-09,2025-04-09T18:30:00,kbo,RESULT,9회말,잠실,OB,두산,HH,한화,4,5,,,폰세,콜어빈,,,kbo_r,
20250410HHOB02025,2025-04-10,2025-04-10T18:30:00,kbo,RESULT,9회말,잠실,OB,두산,HH,한화,2,7,잭로그,,와이스,잭로그,,,kbo_r,
20250411WOHH02025,2025-04-11,2025-04-11T18:30:00,kbo,RESULT,9회초,대전,HH,한화,WO,키움,12,2,류현진,김윤하,류현진,김윤하,,,kbo_r,
20250412WOHH02025,2025-04-12,2025-04-12T17:00:00,kbo,RESULT,9회말,대전,HH,한화,WO,키움,2,6,엄상백,정현우,정현우,엄상백,,,kbo_r,
20250413WOHH02025,2025-04-13,2025-04-13T14:00:00,kbo,RESULT,9회초,대전,HH,한화,WO,키움,7,1,문동주,조영건,문동주,조영건,,,kbo_r,
