season_id,year,game_type,team_code,team_name,player_id,player_name,back_number,position,ranking,is_qualified,hitter_hra,hitter_rbi,hitter_run,hitter_hr,hitter_hit,hitter_h2,hitter_h3,hitter_game_count,hitter_ab,hitter_sb,hitter_cs,hitter_bb,hitter_hp,hitter_kk,hitter_gd,hitter_obp,hitter_slg,hitter_ops,hitter_isop,hitter_babip,hitter_woba,hitter_wrc_plus,hitter_wpa,hitter_war
2025,2025,REGULAR_SEASON,KT,KT,64004,김민혁,53,외야수,,False,0.2868421052631579,35,52,0,109,12,2,106,380,11,,25,7,41,,0.341,0.329,0.67,0.04200000000000004,0.321,0.314,88.0,-0.8,0.76
2025,2025,REGULAR_SEASON,KT,KT,76313,황재균,10,,,False,0.2753246753246753,48,50,7,106,19,0,112,385,3,,34,2,84,,0.336,0.379,0.715,0.10399999999999998,0.334,0.331,99.9,0.065,1.42
2025,2025,REGULAR_SEASON,KT,KT,68050,강백호,50,내야수,,False,0.264797507788162,61,41,15,85,18,1,95,321,2,,44,3,64,,0.358,0.467,0.825,0.202,0.288,0.36,117.6,0.579,1.8199999999999998
2025,2025,REGULAR_SEASON,KT,KT,69056,박민석,2,내야수,,False,0.2631578947368421,1,5,0,5,1,1,19,19,0,,2,0,4,,0.333,0.421,0.754,0.15799999999999997,0.333,0.374,133.8,-0.125,0.15
2025,2025,REGULAR_SEASON,KT,KT,55013,스티븐슨,3,,,False,0.26174496644295303,14,26,3,39,12,0,39,149,2,,14,4,43,,0.341,0.403,0.744,0.14100000000000001,0.35,0.346,112.0,0.164,1.09
2025,2025,REGULAR_SEASON,KT,KT,67644,이정훈,33,외야수,,False,0.25757575757575757,14,20,4,34,4,0,59,132,0,,13,3,48,,0.338,0.379,0.717,0.121,0.375,0.335,104.2,-0.361,0.42
2025,2025,REGULAR_SEASON,KT,KT,64504,오윤석,4,내야수,,False,0.25641025641025644,19,30,0,40,8,1,77,156,0,,12,7,41,,0.335,0.321,0.656,0.065,0.345,0.3,79.0,-0.758,0.45
2025,2025,REGULAR_SEASON,KT,KT,79402,김상수,7,내야수,,False,0.25352112676056343,47,42,5,90,14,0,113,355,3,,52,4,57,,0.349,0.335,0.684,0.08100000000000002,0.283,0.321,92.7,-0.302,1.78
2025,2025,REGULAR_SEASON,KT,KT,67025,로하스,0,외야수,,False,0.23867069486404832,43,48,14,79,20,0,95,331,1,,48,1,71,,0.333,0.426,0.759,0.187,0.26,0.34,103.4,-1.564,1.5899999999999999
2025,2025,REGULAR_SEASON,KT,KT,67006,안치영,8,외야수,,False,0.22727272727272727,6,9,1,10,1,0,47,44,0,,4,3,13,,0.327,0.318,0.645,0.091,0.29,0.294,74.7,0.097,-0.12
2025,2025,REGULAR_SEASON,KT,KT,51003,권동진,52,내야수,,False,0.22509225092250923,25,34,1,61,12,3,123,271,3,,30,1,91,,0.304,0.303,0.607,0.07799999999999999,0.333,0.276,62.4,-1.2389999999999999,-0.03
2025,2025,REGULAR_SEASON,KT,KT,64007,문상철,24,내야수,,False,0.2138728323699422,20,22,5,37,6,1,79,173,1,,25,5,44,,0.325,0.347,0.672,0.13299999999999998,0.252,0.31,86.8,-1.227,0.52
2025,2025,REGULAR_SEASON,KT,KT,50054,천성호,53,내야수,,False,0.208955223880597,7,10,0,14,5,1,31,67,0,,10,4,12,,0.346,0.313,0.659,0.10400000000000001,0.255,0.322,97.5,-0.284,0.39
2025,2025,REGULAR_SEASON,KT,KT,66706,장진혁,51,외야수,,False,0.20863309352517986,19,19,4,29,3,1,86,139,1,,13,0,46,,0.275,0.331,0.606,0.12200000000000003,0.278,0.263,53.3,-0.883,0.11
2025,2025,REGULAR_SEASON,KT,KT,64115,장준원,56,내야수,,False,0.20714285714285713,11,10,1,29,3,0,73,140,0,,8,0,27,,0.248,0.25,0.498,0.04300000000000001,0.248,0.226,26.7,-1.393,-0.3
2025,2025,REGULAR_SEASON,KT,KT,64166,배정대,27,외야수,,False,0.20416666666666666,28,25,2,49,11,2,99,240,6,,19,7,65,,0.279,0.292,0.571,0.088,0.267,0.268,56.4,-2.205,-0.13
2025,2025,REGULAR_SEASON,KT,KT,52002,김병준,57,외야수,,False,0.2,0,2,0,1,0,0,9,5,0,,0,0,2,,0.2,0.2,0.4,0.0,0.333,0.18,-6.4,-0.119,-0.05
2025,2025,REGULAR_SEASON,KT,KT,50066,강현우,55,포수,,False,0.1875,8,5,1,12,1,0,40,64,0,,10,0,14,,0.293,0.25,0.543,0.062,0.22,0.249,42.7,-0.272,-0.34
2025,2025,REGULAR_SEASON,KT,KT,68089,조대현,42,포수,,False,0.18666666666666668,11,7,0,14,4,0,64,75,0,,7,2,22,,0.274,0.24,0.514,0.05299999999999999,0.264,0.238,35.1,-0.498,-0.59
2025,2025,REGULAR_SEASON,KT,KT,51013,유준규,67,외야수,,False,0.11764705882352942,3,13,0,4,2,0,35,34,2,,7,0,13,,0.268,0.176,0.444,0.057999999999999996,0.19,0.227,27.7,-0.168,-0.11
2025,2025,REGULAR_SEASON,KT,KT,51007,최성민,31,외야수,,False,0.10526315789473685,2,3,0,2,0,0,32,19,1,,1,0,5,,0.15,0.105,0.255,0.0,0.143,0.164,-17.5,-0.467,-0.15
2025,2025,REGULAR_SEASON,KT,KT,50092,윤준혁,31,내야수,,False,0.05882352941176471,0,4,0,1,1,0,28,17,1,,0,0,5,,0.059,0.118,0.177,0.059,0.083,0.069,-85.4,-0.269,-0.26
2025,2025,REGULAR_SEASON,KT,KT,69064,강민성,5,내야수,,False,0.03333333333333333,1,0,0,1,0,0,25,30,0,,5,0,15,,0.167,0.033,0.2,0.0,0.063,0.151,-26.7,-0.381,-0.3
2025,2025,REGULAR_SEASON,KT,KT,51005,김건형,0,,,False,0.0,0,0,0,0,0,0,2,1,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,-134.2,-0.035,-0.03
2025,2025,REGULAR_SEASON,KT,KT,54097,김민석,44,포수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,65048,김민수,26,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,55046,박건우,46,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,73113,박경수,6,,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,52060,박영현,60,투수,,False,0.0,0,0,0,0,0,0,5,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,69041,손동현,41,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,64012,송민섭,28,,,False,0.0,0,0,0,0,0,0,3,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032,0.0
2025,2025,REGULAR_SEASON,KT,KT,55005,오서진,25,내야수,,False,0.0,0,0,0,0,0,0,3,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,73117,우규민,12,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,69054,이상동,37,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,67048,이정현,21,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,65060,주권,38,투수,,False,0.0,0,0,0,0,0,0,2,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025,REGULAR_SEASON,KT,KT,79140,최동환,16,투수,,False,0.0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
